record_id,timestamp,pond_id,day_of_cycle,hour_decimal,time_period,species,pond_volume_m3,stocking_density_kg_m3,biomass_kg,temperature_c,ph,dissolved_oxygen_mg_l,ammonia_mg_l,nitrite_mg_l,turbidity_ntu,feed_kg,aerator_command,aerator_status,aerator_fault,rainfall_mm,water_exchange_pct,sensor_quality_flag,fish_stress_event,risk_next_3h,dataset_split
AQUA-000045,2026-01-05 22:00,P01,1,22,night,Nila,52,15.77,820,28.09,7.31,5.54,0.171,0.121,32.7,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000046,2026-01-05 22:30,P01,1,22.5,night,Nila,52,15.77,820,27.56,7.26,5.86,0.191,0.119,33.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000047,2026-01-05 23:00,P01,1,23,night,Nila,52,15.77,820,27.49,7.18,,0.188,0.126,39.8,0,ON,ON,0,0,0,SENSOR_MISSING,0,0,TRAIN
AQUA-000048,2026-01-05 23:30,P01,1,23.5,night,Nila,52,15.77,820,27.52,7.22,5.68,0.189,0.138,33.2,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000049,2026-01-06 00:00,P01,2,0,dawn,Nila,52,15.9,827,27.08,7.17,5.78,0.194,0.125,33.7,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000050,2026-01-06 00:30,P01,2,0.5,dawn,Nila,52,15.9,827,27.07,7.24,5.59,0.194,0.113,36.1,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000051,2026-01-06 01:00,P01,2,1,dawn,Nila,52,15.9,827,27.13,7.14,5.82,0.188,0.126,34.7,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000052,2026-01-06 01:30,P01,2,1.5,dawn,Nila,52,15.9,827,26.94,7.11,5.61,0.207,0.115,33.9,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000053,2026-01-06 02:00,P01,2,2,dawn,Nila,52,15.9,827,26.68,7.13,5.43,0.195,0.113,35.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000054,2026-01-06 02:30,P01,2,2.5,dawn,Nila,52,15.9,827,26.88,7.15,5.52,0.195,0.118,33.4,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000055,2026-01-06 03:00,P01,2,3,dawn,Nila,52,15.9,827,26.76,7.17,5.52,0.189,0.126,35.2,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000056,2026-01-06 03:30,P01,2,3.5,dawn,Nila,52,15.9,827,26.63,7.13,5.25,0.195,0.142,34.7,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000057,2026-01-06 04:00,P01,2,4,dawn,Nila,52,15.9,827,26.71,7.1,5.24,0.194,0.126,34.8,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000058,2026-01-06 04:30,P01,2,4.5,dawn,Nila,52,15.9,827,26.72,7.16,5.31,0.17,0.137,36.6,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000059,2026-01-06 05:00,P01,2,5,dawn,Nila,52,15.9,827,26.97,7.15,5.44,0.183,0.14,32.2,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000060,2026-01-06 05:30,P01,2,5.5,dawn,Nila,52,15.9,827,26.87,7.19,5.25,0.17,0.136,31.5,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000061,2026-01-06 06:00,P01,2,6,morning,Nila,52,15.9,827,27.08,7.18,4.85,0.155,0.108,38.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000062,2026-01-06 06:30,P01,2,6.5,morning,Nila,52,15.9,827,27.48,7.13,4.81,0.161,0.114,35.1,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000063,2026-01-06 07:00,P01,2,7,morning,Nila,52,15.9,827,27.35,7.18,5.22,0.185,0.132,34.4,9.73,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000064,2026-01-06 07:30,P01,2,7.5,morning,Nila,52,15.9,827,27.68,7.29,4.94,0.197,0.114,37.4,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000065,2026-01-06 08:00,P01,2,8,morning,Nila,52,15.9,827,27.68,7.28,4.85,0.157,0.111,32.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000066,2026-01-06 08:30,P01,2,8.5,morning,Nila,52,15.9,827,28.11,7.24,5.2,0.155,0.121,38,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000067,2026-01-06 09:00,P01,2,9,morning,Nila,52,15.9,827,28.07,7.36,5.4,0.174,0.128,35.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000068,2026-01-06 09:30,P01,2,9.5,morning,Nila,52,15.9,827,28.59,7.42,5.38,0.172,0.127,36.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000069,2026-01-06 10:00,P01,2,10,morning,Nila,52,15.9,827,28.67,7.38,5.43,0.182,0.103,32.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000070,2026-01-06 10:30,P01,2,10.5,morning,Nila,52,15.9,827,28.95,7.46,5.5,0.149,0.125,37.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000071,2026-01-06 11:00,P01,2,11,morning,Nila,52,15.9,827,29.4,7.51,5.63,0.141,0.133,30.5,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000072,2026-01-06 11:30,P01,2,11.5,morning,Nila,52,15.9,827,29.43,7.46,5.79,0.2,0.127,35.3,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000073,2026-01-06 12:00,P01,2,12,afternoon,Nila,52,15.9,827,29.35,7.45,5.91,0.176,0.125,37.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000074,2026-01-06 12:30,P01,2,12.5,afternoon,Nila,52,15.9,827,29.72,7.53,5.89,0.141,0.135,33.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000075,2026-01-06 13:00,P01,2,13,afternoon,Nila,52,15.9,827,29.84,7.59,6.21,0.167,0.132,35.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000076,2026-01-06 13:30,P01,2,13.5,afternoon,Nila,52,15.9,827,29.86,7.57,6.11,0.164,0.14,36.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000077,2026-01-06 14:00,P01,2,14,afternoon,Nila,52,15.9,827,29.76,7.6,6.23,0.167,0.13,34.7,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000078,2026-01-06 14:30,P01,2,14.5,afternoon,Nila,52,15.9,827,29.93,7.59,6.41,0.158,0.125,33.4,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000079,2026-01-06 15:00,P01,2,15,afternoon,Nila,52,15.9,827,29.85,7.58,6.37,0.168,0.15,33.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000080,2026-01-06 15:30,P01,2,15.5,afternoon,Nila,52,15.9,827,29.96,7.55,6.48,0.157,0.15,32.4,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000081,2026-01-06 16:00,P01,2,16,afternoon,Nila,52,15.9,827,30.16,7.56,6.4,0.149,0.14,34.4,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000082,2026-01-06 16:30,P01,2,16.5,afternoon,Nila,52,15.9,827,30.2,7.58,6.35,0.172,0.148,34.5,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000083,2026-01-06 17:00,P01,2,17,afternoon,Nila,52,15.9,827,29.32,7.47,6.27,0.167,0.154,36.6,8.03,OFF,OFF,0,1.8,0,OK,0,0,TRAIN
AQUA-000084,2026-01-06 17:30,P01,2,17.5,afternoon,Nila,52,15.9,827,29.1,7.4,6.15,0.151,0.134,36,0,OFF,OFF,0,3.39,0,OK,0,0,TRAIN
AQUA-000085,2026-01-06 18:00,P01,2,18,night,Nila,52,15.9,827,29.13,7.33,6.24,0.185,0.155,46.5,0,OFF,OFF,0,4.96,0,OK,0,0,TRAIN
AQUA-000086,2026-01-06 18:30,P01,2,18.5,night,Nila,52,15.9,827,28.6,7.38,6.18,0.156,0.147,43.9,0,OFF,OFF,0,5.83,0,OK,0,0,TRAIN
AQUA-000087,2026-01-06 19:00,P01,2,19,night,Nila,52,15.9,827,28.58,7.29,5.82,0.198,0.142,43.9,0,OFF,OFF,0,5.29,0,OK,0,0,TRAIN
AQUA-000088,2026-01-06 19:30,P01,2,19.5,night,Nila,52,15.9,827,28.52,7.3,5.46,0.201,0.151,48.3,0,OFF,OFF,0,5.67,0,OK,0,0,TRAIN
AQUA-000089,2026-01-06 20:00,P01,2,20,night,Nila,52,15.9,827,28.08,7.3,5.47,0.19,0.136,40.9,0,OFF,OFF,0,4.02,0,OK,0,0,TRAIN
AQUA-000090,2026-01-06 20:30,P01,2,20.5,night,Nila,52,15.9,827,27.98,7.32,5.56,0.219,0.158,39.5,0,OFF,OFF,0,2.47,0,OK,0,0,TRAIN
AQUA-000091,2026-01-06 21:00,P01,2,21,night,Nila,52,15.9,827,28.02,7.29,5.69,0.206,0.15,39,0,OFF,OFF,0,1.68,0,OK,0,0,TRAIN
AQUA-000092,2026-01-06 21:30,P01,2,21.5,night,Nila,52,15.9,827,28.18,7.36,5.49,0.185,0.136,30.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000093,2026-01-06 22:00,P01,2,22,night,Nila,52,15.9,827,27.77,7.33,6.05,0.175,0.139,33.4,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000094,2026-01-06 22:30,P01,2,22.5,night,Nila,52,15.9,827,27.58,7.23,6.01,0.178,0.154,40.6,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000095,2026-01-06 23:00,P01,2,23,night,Nila,52,15.9,827,27.43,7.24,5.91,0.175,0.147,32.4,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000096,2026-01-06 23:30,P01,2,23.5,night,Nila,52,15.9,827,27.23,7.19,5.69,0.205,0.121,35.2,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000097,2026-01-07 00:00,P01,3,0,dawn,Nila,52,16.04,834,27.65,7.26,5.81,0.184,0.148,34,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000098,2026-01-07 00:30,P01,3,0.5,dawn,Nila,52,16.04,834,27.28,7.21,5.91,0.206,0.146,33.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000099,2026-01-07 01:00,P01,3,1,dawn,Nila,52,16.04,834,27.22,7.18,,0.227,0.143,31.6,0,ON,ON,0,0,0,SENSOR_MISSING,0,0,TRAIN
AQUA-000100,2026-01-07 01:30,P01,3,1.5,dawn,Nila,52,16.04,834,27.23,7.2,5.52,0.216,0.166,35.6,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000101,2026-01-07 02:00,P01,3,2,dawn,Nila,52,16.04,834,27.14,7.16,5.51,0.217,0.137,38.5,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000102,2026-01-07 02:30,P01,3,2.5,dawn,Nila,52,16.04,834,26.86,7.19,5.57,0.189,0.154,33.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000103,2026-01-07 03:00,P01,3,3,dawn,Nila,52,16.04,834,26.88,7.12,5.37,0.188,0.142,40.1,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000104,2026-01-07 03:30,P01,3,3.5,dawn,Nila,52,16.04,834,27.07,7.14,5.48,0.192,0.152,41.1,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000105,2026-01-07 04:00,P01,3,4,dawn,Nila,52,16.04,834,27.05,7.15,5.19,0.168,0.141,31.4,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000106,2026-01-07 04:30,P01,3,4.5,dawn,Nila,52,16.04,834,26.94,7.14,5.18,0.183,0.137,31.2,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000107,2026-01-07 05:00,P01,3,5,dawn,Nila,52,16.04,834,27.03,7.21,5.22,0.191,0.15,35.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000108,2026-01-07 05:30,P01,3,5.5,dawn,Nila,52,16.04,834,27.34,7.17,5.26,0.182,0.151,35.5,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000109,2026-01-07 06:00,P01,3,6,morning,Nila,52,16.04,834,27.51,7.18,,0.186,0.174,31.6,0,OFF,OFF,0,0,0,SENSOR_MISSING,0,0,TRAIN
AQUA-000110,2026-01-07 06:30,P01,3,6.5,morning,Nila,52,16.04,834,27.46,7.2,4.64,0.175,0.145,36.5,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000111,2026-01-07 07:00,P01,3,7,morning,Nila,52,16.04,834,27.81,7.23,4.98,0.17,0.163,33.3,9.82,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000112,2026-01-07 07:30,P01,3,7.5,morning,Nila,52,16.04,834,27.9,7.26,4.7,0.169,0.152,32.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000113,2026-01-07 08:00,P01,3,8,morning,Nila,52,16.04,834,28.07,7.28,4.6,0.175,0.149,37.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000114,2026-01-07 08:30,P01,3,8.5,morning,Nila,52,16.04,834,28.58,7.36,4.91,0.166,0.157,36.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000115,2026-01-07 09:00,P01,3,9,morning,Nila,52,16.04,834,28.57,7.33,5.03,0.164,0.154,35.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000116,2026-01-07 09:30,P01,3,9.5,morning,Nila,52,16.04,834,28.77,7.36,5.2,0.201,0.165,34.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000117,2026-01-07 10:00,P01,3,10,morning,Nila,52,16.04,834,28.84,7.34,5.53,0.179,0.158,36,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000118,2026-01-07 10:30,P01,3,10.5,morning,Nila,52,16.04,834,29.36,7.41,5.62,0.183,0.164,34.3,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000119,2026-01-07 11:00,P01,3,11,morning,Nila,52,16.04,834,29.44,7.47,5.79,0.195,0.137,38.7,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000120,2026-01-07 11:30,P01,3,11.5,morning,Nila,52,16.04,834,29.6,7.46,5.88,0.188,0.144,38.5,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000121,2026-01-07 12:00,P01,3,12,afternoon,Nila,52,16.04,834,29.79,7.56,6.03,0.172,0.163,36.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000122,2026-01-07 12:30,P01,3,12.5,afternoon,Nila,52,16.04,834,30.13,7.5,6.02,0.192,0.165,36.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000123,2026-01-07 13:00,P01,3,13,afternoon,Nila,52,16.04,834,30.04,7.49,5.77,0.204,0.158,32.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000124,2026-01-07 13:30,P01,3,13.5,afternoon,Nila,52,16.04,834,30.2,7.52,6.2,0.184,0.163,38.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000125,2026-01-07 14:00,P01,3,14,afternoon,Nila,52,16.04,834,29.9,7.51,6.29,0.179,0.17,31,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000126,2026-01-07 14:30,P01,3,14.5,afternoon,Nila,52,16.04,834,30.16,7.64,6.51,0.2,0.167,33.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000127,2026-01-07 15:00,P01,3,15,afternoon,Nila,52,16.04,834,30.07,7.54,6.33,0.172,0.165,37,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000128,2026-01-07 15:30,P01,3,15.5,afternoon,Nila,52,16.04,834,30.14,7.59,6.66,0.185,0.179,34.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000129,2026-01-07 16:00,P01,3,16,afternoon,Nila,52,16.04,834,30.07,7.58,6.47,0.186,0.168,32.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000130,2026-01-07 16:30,P01,3,16.5,afternoon,Nila,52,16.04,834,30.15,7.51,6.31,0.187,0.192,32.4,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000131,2026-01-07 17:00,P01,3,17,afternoon,Nila,52,16.04,834,30.08,7.49,6.22,0.201,0.189,39.9,8.34,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000132,2026-01-07 17:30,P01,3,17.5,afternoon,Nila,52,16.04,834,30.03,7.51,6.13,0.193,0.166,39.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000133,2026-01-07 18:00,P01,3,18,night,Nila,52,16.04,834,29.65,7.45,6.32,0.188,0.174,34.7,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000134,2026-01-07 18:30,P01,3,18.5,night,Nila,52,16.04,834,29.82,7.51,5.99,0.175,0.168,33,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000135,2026-01-07 19:00,P01,3,19,night,Nila,52,16.04,834,29.19,7.46,5.9,0.166,0.165,37.7,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000136,2026-01-07 19:30,P01,3,19.5,night,Nila,52,16.04,834,29.17,7.35,5.92,0.162,0.17,38.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000137,2026-01-07 20:00,P01,3,20,night,Nila,52,16.04,834,29.06,7.41,5.59,0.185,0.19,35.5,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000138,2026-01-07 20:30,P01,3,20.5,night,Nila,52,16.04,834,28.83,7.45,5.66,0.195,0.167,38.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000139,2026-01-07 21:00,P01,3,21,night,Nila,52,16.04,834,28.47,7.34,5.56,0.197,0.171,36.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000140,2026-01-07 21:30,P01,3,21.5,night,Nila,52,16.04,834,28.33,7.33,5.37,0.172,0.175,35.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000141,2026-01-07 22:00,P01,3,22,night,Nila,52,16.04,834,28.08,7.26,5.77,0.187,0.183,33.5,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000142,2026-01-07 22:30,P01,3,22.5,night,Nila,52,16.04,834,27.95,7.33,5.96,0.182,0.165,35.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000143,2026-01-07 23:00,P01,3,23,night,Nila,52,16.04,834,27.85,7.23,6.13,0.162,0.181,36,0,ON,ON,0,0,0,OK,0,0,TRAIN
